Año;Clave_Ent;Entidad;Cve. Municipio;Municipio;Bien jurídico afectado;Tipo de delito;Subtipo de delito;Modalidad;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre
2015;1;Aguascalientes;1001;Aguascalientes;La vida y la Integridad corporal;Homicidio;Homicidio doloso;Con arma de fuego;2;0;1;1;0;1;1;0;2;1;0;1
2015;1;Aguascalientes;1001;Aguascalientes;La vida y la Integridad corporal;Homicidio;Homicidio doloso;Con arma blanca;1;1;0;0;0;1;0;1;0;0;0;0
2015;1;Aguascalientes;1001;Aguascalientes;La vida y la Integridad corporal;Homicidio;Homicidio doloso;Con otro elemento;0;0;1;1;3;2;0;1;2;0;0;0
2015;1;Aguascalientes;1001;Aguascalientes;La vida y la Integridad corporal;Homicidio;Homicidio doloso;No especificado;1;0;0;1;0;0;0;0;0;0;0;0
2015;1;Aguascalientes;1001;Aguascalientes;La vida y la Integridad corporal;Homicidio;Homicidio culposo;Con arma de fuego;0;0;0;0;1;0;0;0;0;0;0;0
2015;1;Aguascalientes;1001;Aguascalientes;La vida y la Integridad corporal;Homicidio;Homicidio culposo;Con arma blanca;0;0;0;0;0;0;0;0;0;0;0;0
2015;1;Aguascalientes;1001;Aguascalientes;La vida y la Integridad corporal;Homicidio;Homicidio culposo;En accidente de tránsito;9;10;3;11;6;4;6;6;11;6;3;7
2015;1;Aguascalientes;1001;Aguascalientes;La vida y la Integridad corporal;Homicidio;Homicidio culposo;Con otro elemento;0;0;0;0;0;1;0;0;0;0;0;0
2015;1;Aguascalientes;1001;Aguascalientes;La vida y la Integridad corporal;Homicidio;Homicidio culposo;No especificado;1;0;0;3;0;0;0;0;0;0;0;0
2015;1;Aguascalientes;1001;Aguascalientes;La vida y la Integridad corporal;Lesiones;Lesiones dolosas;Con arma de fuego;1;2;4;1;1;1;3;2;1;3;2;2
2015;1;Aguascalientes;1001;Aguascalientes;La vida y la Integridad corporal;Lesiones;Lesiones dolosas;Con arma blanca;11;6;11;15;7;7;12;14;3;9;11;11
2015;1;Aguascalientes;1001;Aguascalientes;La vida y la Integridad corporal;Lesiones;Lesiones dolosas;Con otro elemento;120;121;133;153;163;161;151;163;136;105;89;104
2015;1;Aguascalientes;1001;Aguascalientes;La vida y la Integridad corporal;Lesiones;Lesiones dolosas;No especificado;10;19;9;12;0;0;0;0;0;18;11;19
2015;1;Aguascalientes;1001;Aguascalientes;La vida y la Integridad corporal;Lesiones;Lesiones culposas;Con arma de fuego;0;0;0;0;0;0;0;0;0;0;0;0
2015;1;Aguascalientes;1001;Aguascalientes;La vida y la Integridad corporal;Lesiones;Lesiones culposas;Con arma blanca;0;0;1;0;0;0;0;0;0;0;0;0
2015;1;Aguascalientes;1001;Aguascalientes;La vida y la Integridad corporal;Lesiones;Lesiones culposas;En accidente de tránsito;37;29;70;84;71;65;77;60;71;80;73;80
2015;1;Aguascalientes;1001;Aguascalientes;La vida y la Integridad corporal;Lesiones;Lesiones culposas;Con otro elemento;2;0;0;2;22;29;5;24;2;3;10;3
2015;1;Aguascalientes;1001;Aguascalientes;La vida y la Integridad corporal;Lesiones;Lesiones culposas;No especificado;3;3;2;12;0;0;0;0;14;6;0;6
2015;1;Aguascalientes;1001;Aguascalientes;La vida y la Integridad corporal;Feminicidio;Feminicidio;Con arma de fuego;0;0;0;0;0;0;0;0;0;0;0;0
2015;1;Aguascalientes;1001;Aguascalientes;La vida y la Integridad corporal;Feminicidio;Feminicidio;Con arma blanca;0;0;0;0;0;0;0;0;0;0;0;0
2015;1;Aguascalientes;1001;Aguascalientes;La vida y la Integridad corporal;Feminicidio;Feminicidio;Con otro elemento;0;0;0;0;0;0;0;0;0;0;0;0
2015;1;Aguascalientes;1001;Aguascalientes;La vida y la Integridad corporal;Feminicidio;Feminicidio;No especificado;0;0;0;0;0;0;0;0;0;0;0;0
2015;1;Aguascalientes;1001;Aguascalientes;La vida y la Integridad corporal;Aborto;Aborto;Aborto;0;1;0;0;0;0;0;0;0;0;0;0
2015;1;Aguascalientes;1001;Aguascalientes;La vida y la Integridad corporal;Otros delitos que atentan contra la vida y la integridad corporal;Otros delitos que atentan contra la vida y la integridad corporal;Otros delitos que atentan contra la vida y la integridad corporal;4;9;30;24;0;0;0;0;0;0;0;0
2015;1;Aguascalientes;1001;Aguascalientes;Libertad personal;Secuestro;Secuestro;Secuestro extorsivo;0;0;1;1;0;0;0;1;0;1;0;0
2015;1;Aguascalientes;1001;Aguascalientes;Libertad personal;Secuestro;Secuestro;Secuestro con calidad de rehén;0;0;0;0;0;0;0;0;0;0;0;0
2015;1;Aguascalientes;1001;Aguascalientes;Libertad personal;Secuestro;Secuestro;Secuestro para causar daño;0;0;0;0;0;0;0;0;0;0;0;0
2015;1;Aguascalientes;1001;Aguascalientes;Libertad personal;Secuestro;Secuestro;Secuestro exprés;0;0;0;0;0;0;0;0;0;0;0;0
2015;1;Aguascalientes;1001;Aguascalientes;Libertad personal;Secuestro;Secuestro;Otro tipo de secuestros;0;0;0;0;0;0;0;0;0;0;0;0
2015;1;Aguascalientes;1001;Aguascalientes;Libertad personal;Tráfico de menores;Tráfico de menores;Tráfico de menores;0;0;0;0;0;0;0;0;0;0;0;0
2015;1;Aguascalientes;1001;Aguascalientes;Libertad personal;Rapto;Rapto;Rapto;0;0;0;0;0;0;0;0;0;0;0;0
2015;1;Aguascalientes;1001;Aguascalientes;Libertad personal;Otros delitos que atentan contra la libertad personal;Otros delitos que atentan contra la libertad personal;Otros delitos que atentan contra la libertad personal;8;9;10;13;0;6;2;0;0;0;0;2
2015;1;Aguascalientes;1001;Aguascalientes;La libertad y la seguridad sexual;Abuso sexual;Abuso sexual;Abuso sexual;5;4;0;2;1;1;1;1;0;0;0;0
2015;1;Aguascalientes;1001;Aguascalientes;La libertad y la seguridad sexual;Acoso sexual;Acoso sexual;Acoso sexual;0;0;0;0;0;0;0;0;0;0;0;0
2015;1;Aguascalientes;1001;Aguascalientes;La libertad y la seguridad sexual;Hostigamiento sexual;Hostigamiento sexual;Hostigamiento sexual;1;1;0;1;1;0;1;0;0;1;0;3
2015;1;Aguascalientes;1001;Aguascalientes;La libertad y la seguridad sexual;Violación simple;Violación simple;Violación simple;4;2;3;11;2;9;7;5;3;5;4;6
2015;1;Aguascalientes;1001;Aguascalientes;La libertad y la seguridad sexual;Violación equiparada;Violación equiparada;Violación equiparada;0;2;3;5;2;1;1;2;2;4;2;0
2015;1;Aguascalientes;1001;Aguascalientes;La libertad y la seguridad sexual;Incesto;Incesto;Incesto;0;0;0;0;0;0;0;0;1;0;0;1
2015;1;Aguascalientes;1001;Aguascalientes;La libertad y la seguridad sexual;Otros delitos que atentan contra la libertad y la seguridad sexual;Otros delitos que atentan contra la libertad y la seguridad sexual;Otros delitos que atentan contra la libertad y la seguridad sexual;16;12;14;17;19;26;21;15;13;19;15;14
2015;1;Aguascalientes;1001;Aguascalientes;El patrimonio;Robo;Robo a casa habitación;Sin violencia;172;151;181;155;170;182;173;168;158;144;201;171
2015;1;Aguascalientes;1001;Aguascalientes;El patrimonio;Robo;Robo de vehículo automotor;Robo de coche de 4 ruedas Con violencia;4;1;4;3;0;1;1;5;2;5;6;4
2015;1;Aguascalientes;1001;Aguascalientes;El patrimonio;Robo;Robo de vehículo automotor;Robo de coche de 4 ruedas Sin violencia;114;106;122;124;138;94;89;93;126;105;152;171
2015;1;Aguascalientes;1001;Aguascalientes;El patrimonio;Robo;Robo de vehículo automotor;Robo de motocicleta Con violencia;1;0;1;0;0;0;0;2;0;0;1;0
2015;1;Aguascalientes;1001;Aguascalientes;El patrimonio;Robo;Robo de vehículo automotor;Robo de motocicleta Sin violencia;23;24;21;20;23;17;8;33;29;33;39;34
2015;1;Aguascalientes;1001;Aguascalientes;El patrimonio;Robo;Robo de vehículo automotor;Robo de embarcaciones pequeñas y grandes Con violencia;0;0;0;0;0;0;0;0;0;0;0;0
2015;1;Aguascalientes;1001;Aguascalientes;El patrimonio;Robo;Robo de vehículo automotor;Robo de embarcaciones pequeñas y grandes Sin violencia;0;0;0;0;0;0;0;0;0;0;0;0
2015;1;Aguascalientes;1001;Aguascalientes;El patrimonio;Robo;Robo de autopartes;Con violencia;0;0;0;0;0;0;0;0;0;0;0;0
2015;1;Aguascalientes;1001;Aguascalientes;El patrimonio;Robo;Robo de autopartes;Sin violencia;94;123;137;108;0;0;0;0;0;0;0;0
2015;1;Aguascalientes;1001;Aguascalientes;El patrimonio;Robo;Robo a transportista;Con violencia;0;0;0;0;1;0;0;0;0;0;1;0
